subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
0,[],0,0,0,0,True,1.0,0.0,0.0,0.0,0.0,1.0
1,[0],637,637,202566,202566,True,1.0,0.10167597765363129,0.2364513734224202,0.09331398562741847,0.05584221073028565,1.0
1,[1],198,198,19503,19503,True,1.0,0.03160415003990423,0.07349665924276169,0.00898424543946932,0.005376473030383978,1.0
1,[2],38,38,703,703,True,1.0,0.006065442936951317,0.014105419450631032,0.0003238437442417542,0.00019379893043941634,1.0
1,[3],1340,1340,897130,897130,True,1.0,0.21388667198723066,0.4974016332590943,0.4132716049382716,0.24731555400442898,1.0
1,[4],309,309,47586,47586,True,1.0,0.04932162809257781,0.11469933184855234,0.021920950801547816,0.013118230304253294,1.0
1,[5],456,456,103740,103740,True,1.0,0.0727853152434158,0.16926503340757237,0.04778883360972913,0.028598436762140897,1.0
1,[6],242,242,29161,29161,True,1.0,0.03862729449321628,0.08982925018559762,0.013433296480560162,0.008038934012153371,1.0
1,[7],1176,1176,690900,690900,True,1.0,0.1877094972067039,0.4365256124721604,0.31826976229961307,0.19046327317296266,1.0
1,[8],91,91,4095,4095,True,1.0,0.01452513966480447,0.033778767631774315,0.001886401326699834,0.0011288856616634565,1.0
1,[9],312,312,48516,48516,True,1.0,0.04980047885075818,0.11581291759465479,0.022349364289662797,0.013374607267707998,1.0
1,[10],250,250,31125,31125,True,1.0,0.03990422984836393,0.09279881217520415,0.01433803206191266,0.008580358051105026,1.0
1,[11],1216,1216,738720,738720,True,1.0,0.19409417398244214,0.451373422420193,0.3402985074626866,0.203646011229311,1.0
2,"[0, 1]",835,723,215853,261003,True,1.0,0.1332801276935355,0.26837416481069043,0.099434770591487,0.07195178128233141,1.0
2,"[0, 2]",675,656,203098,214840,True,1.0,0.1077414205905826,0.24350408314773572,0.09355905656900682,0.05922583529957924,1.0
2,"[0, 3]",1977,1706,1063111,1454365,True,1.0,0.31556264964086195,0.6332590942835932,0.4897323567348443,0.40093084134924856,1.0
2,"[0, 4]",946,775,235617,299925,True,1.0,0.1509976057462091,0.2876763177431329,0.10853924820342731,0.08268157071414217,1.0
2,"[0, 5]",1093,932,293426,433846,True,1.0,0.1744612928970471,0.3459539717891611,0.13516952275658745,0.11960012912577385,1.0
2,"[0, 6]",879,854,231427,364231,True,1.0,0.14030327214684757,0.3170007423904974,0.1066090842085867,0.10040907287749509,1.0
2,"[0, 7]",1813,1427,819161,1017451,True,1.0,0.28938547486033517,0.5296956198960653,0.3773544315459738,0.2804849439182284,1.0
2,"[0, 8]",728,700,206283,244650,True,1.0,0.11620111731843576,0.25983667409057165,0.09502625760088447,0.0674436818378424,1.0
2,"[0, 9]",949,904,250092,408156,True,1.0,0.15147645650438946,0.33556050482553823,0.1152072968490879,0.11251806010303046,1.0
2,"[0, 10]",887,739,222813,272691,True,1.0,0.1415802075019952,0.27431328878990346,0.10264096185737977,0.07517386079723311,1.0
2,"[0, 11]",1853,1737,934616,1507716,True,1.0,0.2957701516360734,0.6447661469933185,0.4305398931269578,0.41563833315276677,1.0
2,"[1, 2]",236,228,20178,25878,True,1.0,0.03766959297685555,0.08463251670378619,0.009295190713101162,0.007133895763742839,1.0
2,"[1, 3]",1538,1473,914553,1084128,True,1.0,0.24549082202713488,0.5467706013363028,0.4212976782752902,0.2988660695013137,1.0
2,"[1, 4]",507,447,65319,99681,True,1.0,0.08092577813248204,0.16592427616926503,0.030089828634604753,0.027479475370030527,1.0
2,"[1, 5]",654,562,119057,157641,True,1.0,0.10438946528332003,0.20861172976985895,0.0548447576930164,0.04345754935049791,1.0
2,"[1, 6]",440,437,48661,95266,True,1.0,0.07023144453312051,0.16221232368225685,0.022416159941035563,0.026262373979006312,1.0
