subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
0,0,[],0,0,0,0,0.0,0.0,0.0,0.0
1,6000,[6],447,447,99681,99681,0.0703715365239294,0.2360084477296726,0.0789144932676352,0.0556047372886603
2,12900,"[6, 8]",924,701,188454,245350,0.1454659949622166,0.3701161562829989,0.1491934462360824,0.1368628153185944
3,27300,"[6, 8, 10]",1387,739,226325,272691,0.2183564231738035,0.3901795142555438,0.1791747944823742,0.1521143589649188
4,42700,"[6, 8, 10, 1]",2400,1262,636386,795691,0.3778337531486146,0.6663146779303062,0.5038079344370274,0.4438577965505104
5,67700,"[6, 8, 10, 1, 4]",3252,1330,724139,883785,0.5119647355163728,0.7022175290390708,0.5732793836371236,0.4929989942382066
6,148180,"[6, 8, 10, 1, 4, 5]",4057,1347,758117,906531,0.6386964735516373,0.7111932418162619,0.6001787591675428,0.5056873235523975
7,346180,"[6, 8, 10, 1, 4, 5, 3]",4744,1375,791942,944625,0.7468513853904282,0.7259767687434002,0.6269570091327092,0.5269371792147025
8,546180,"[6, 8, 10, 1, 4, 5, 3, 11]",4840,1385,793355,958420,0.7619647355163728,0.7312565997888067,0.6280756393529836,0.534632400479508
8,546180,"[6, 8, 10, 1, 4, 5, 3, 12]",4836,1381,792983,952890,0.7613350125944585,0.7291446673706441,0.6277811379786439,0.5315476180514996
8,606180,"[6, 8, 10, 1, 4, 5, 3, 2]",5219,1423,827011,1011753,0.8216309823677582,0.7513199577613516,0.6547200970271194,0.5643829793643117
8,686180,"[6, 8, 10, 1, 4, 5, 3, 7]",5426,1833,1006179,1679028,0.8542191435768262,0.96779303062302,0.796562092289764,0.9366068843641694
7,348180,"[6, 8, 10, 1, 4, 5, 11]",4153,1357,759577,920046,0.6538098236775819,0.7164730728616684,0.6013345978947902,0.5132263533018607
8,548180,"[6, 8, 10, 1, 4, 5, 11, 12]",4245,1365,760737,930930,0.6682934508816121,0.7206969376979937,0.6022529355136991,0.5192977406339478
8,608180,"[6, 8, 10, 1, 4, 5, 11, 2]",4628,1415,797971,1000405,0.7285894206549118,0.7470960929250264,0.6317299897399521,0.5580527603782289
8,688180,"[6, 8, 10, 1, 4, 5, 11, 7]",4835,1816,973940,1648020,0.7611775818639799,0.9588173178458288,0.7710394315173471,0.9193097896937028
7,348180,"[6, 8, 10, 1, 4, 5, 12]",4149,1355,759280,917335,0.6531801007556675,0.7154171066525871,0.6010994717975351,0.511714084737244
8,608180,"[6, 8, 10, 1, 4, 5, 12, 2]",4624,1413,797684,997578,0.7279596977329975,0.7460401267159451,0.6315027803463082,0.5564757839001133
8,688180,"[6, 8, 10, 1, 4, 5, 12, 7]",4831,1814,973651,1644391,0.7605478589420654,0.9577613516367476,0.770810638782981,0.9172854360895
7,408180,"[6, 8, 10, 1, 4, 5, 2]",4532,1405,796537,986310,0.7134760705289672,0.7418162618796198,0.630594734442094,0.5501901910612711
7,488180,"[6, 8, 10, 1, 4, 5, 7]",4739,1806,972492,1629915,0.7460642317380353,0.9535374868004224,0.7698930928344332,0.9092103347463087
7,543180,"[6, 8, 10, 1, 4, 5, 9]",4487,1421,802186,1008910,0.7063916876574308,0.7502639915522703,0.6350668803121081,0.5627970776567479
6,265700,"[6, 8, 10, 1, 4, 3]",3939,1366,768019,932295,0.6201196473551638,0.7212249208025343,0.6080178790834357,0.520059174271241
7,465700,"[6, 8, 10, 1, 4, 3, 11]",4035,1376,769485,946000,0.6352329974811083,0.7265047518479408,0.6091784678328499,0.5277041911204008
8,665700,"[6, 8, 10, 1, 4, 3, 11, 12]",4127,1383,770597,955653,0.6497166246851386,0.7302006335797254,0.6100588052744246,0.5330888936118228
7,465700,"[6, 8, 10, 1, 4, 3, 12]",4031,1373,769131,941878,0.634603274559194,0.7249208025343189,0.6088982165250104,0.5254048288838276
7,525700,"[6, 8, 10, 1, 4, 3, 2]",4414,1415,804001,1000405,0.6948992443324937,0.7470960929250264,0.6365037620175561,0.5580527603782289
7,605700,"[6, 8, 10, 1, 4, 3, 7]",4621,1826,982917,1666225,0.7274874055415617,0.9640971488912354,0.7781462563491963,0.9294650273251478
7,660700,"[6, 8, 10, 1, 4, 3, 9]",4369,1434,809010,1027461,0.6878148614609572,0.7571277719112989,0.640469238856448,0.5731453233750086
6,267700,"[6, 8, 10, 1, 4, 11]",3348,1340,725652,897130,0.5270780856423174,0.7074973600844773,0.5744771808935109,0.5004431934247835
7,467700,"[6, 8, 10, 1, 4, 11, 12]",3440,1349,726883,909226,0.5415617128463476,0.7122492080253432,0.5754517271080598,0.5071906668875661
7,527700,"[6, 8, 10, 1, 4, 11, 2]",3823,1401,765588,980700,0.6018576826196473,0.7397043294614573,0.6060933284355327,0.5470607824860223
7,607700,"[6, 8, 10, 1, 4, 11, 7]",4030,1801,940890,1620900,0.6344458438287154,0.9508975712777192,0.7448747260820551,0.9041815257791308
7,662700,"[6, 8, 10, 1, 4, 11, 9]",3778,1416,771302,1001820,0.5947732997481109,0.747624076029567,0.6106169328790201,0.5588420853575475
6,267700,"[6, 8, 10, 1, 4, 12]",3344,1339,725373,895791,0.5264483627204031,0.7069693769799367,0.574256304862756,0.4996962632853435
7,527700,"[6, 8, 10, 1, 4, 12, 2]",3819,1400,765319,979300,0.601227959697733,0.7391763463569165,0.6058803691083892,0.5462798249093113
7,607700,"[6, 8, 10, 1, 4, 12, 7]",4026,1800,940627,1619100,0.6338161209068011,0.9503695881731784,0.7446665167770783,0.9031774374662166
7,662700,"[6, 8, 10, 1, 4, 12, 9]",3774,1417,771135,1003236,0.5941435768261965,0.7481520591341078,0.6104847239287117,0.5596319681637065
6,327700,"[6, 8, 10, 1, 4, 2]",3727,1391,764101,966745,0.5867443324937027,0.7344244984160507,0.6049161146085349,0.5392763089267356
7,667700,"[6, 8, 10, 1, 4, 2, 7]",4409,1819,973293,1653471,0.6941120906801007,0.9604012671594508,0.7705272207936971,0.922350503801311
6,407700,"[6, 8, 10, 1, 4, 7]",3934,1791,939397,1602945,0.6193324937027708,0.9456177402323126,0.7436927622328904,0.8941657448578127
6,462700,"[6, 8, 10, 1, 4, 9]",3682,1411,770028,994755,0.5796599496221663,0.7449841605068638,0.6096083448389426,0.5549010387293597
5,123180,"[6, 8, 10, 1, 5]",3205,1313,697016,861328,0.5045654911838791,0.6932418162618796,0.5518069084322393,0.4804718768809223
6,321180,"[6, 8, 10, 1, 5, 3]",3892,1353,743826,914628,0.6127204030226701,0.7143611404435058,0.5888649980366575,0.5102040474799894
7,521180,"[6, 8, 10, 1, 5, 3, 11]",3988,1364,745411,929566,0.6278337531486146,0.720168954593453,0.5901197955590459,0.5185368648234953
7,521180,"[6, 8, 10, 1, 5, 3, 12]",3984,1362,745148,926841,0.6272040302267002,0.7191129883843717,0.5899115862540691,0.5170167866831114
7,581180,"[6, 8, 10, 1, 5, 3, 2]",4367,1413,784209,997578,0.6875,0.7460401267159451,0.6208350222301038,0.5564757839001133
7,661180,"[6, 8, 10, 1, 5, 3, 7]",4574,1819,959509,1653471,0.720088161209068,0.9604012671594508,0.7596148365359038,0.922350503801311
