subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
6,117500,"[6, 8, 10, 1, 4, 0]",4385,1817,1181138,1649836,0.6903337531486146,0.9593453009503696,0.9350719470024194,0.9203228032360652
7,197980,"[6, 8, 10, 1, 4, 0, 5]",5190,1832,1212007,1677196,0.8170654911838791,0.9672650475184794,0.9595100193800904,0.9355849455923592
8,395980,"[6, 8, 10, 1, 4, 0, 5, 3]",5877,1851,1239958,1712175,0.92522040302267,0.977296726504752,0.981637997643989,0.9550971706464824
9,595980,"[6, 8, 10, 1, 4, 0, 5, 3, 11]",5973,1859,1241144,1727011,0.9403337531486146,0.981520591341077,0.9825769186922872,0.9633730896522564
9,595980,"[6, 8, 10, 1, 4, 0, 5, 3, 12]",5969,1855,1240766,1719585,0.9397040302267002,0.9794086589229144,0.9822776672957808,0.9592306675346453
9,655980,"[6, 8, 10, 1, 4, 0, 5, 3, 2]",6352,1875,1263152,1756875,1.0,0.9899683210137276,1.0,0.980032030417182
8,397980,"[6, 8, 10, 1, 4, 0, 5, 11]",5286,1840,1213240,1691880,0.8321788413098237,0.9714889123548046,0.9604861489353616,0.943776074918376
9,597980,"[6, 8, 10, 1, 4, 0, 5, 11, 12]",5378,1846,1214167,1702935,0.8466624685138538,0.9746568109820486,0.9612200273601276,0.94994285064019
9,657980,"[6, 8, 10, 1, 4, 0, 5, 11, 2]",5761,1870,1238876,1747515,0.9069584382871536,0.9873284054910244,0.9807814103132482,0.9748107711900288
8,397980,"[6, 8, 10, 1, 4, 0, 5, 12]",5282,1838,1212937,1688203,0.8315491183879093,0.9704329461457232,0.9602462728159398,0.9417249456258288
9,657980,"[6, 8, 10, 1, 4, 0, 5, 12, 2]",5757,1868,1238583,1743778,0.9063287153652392,0.986272439281943,0.9805494508974376,0.972726172287051
8,457980,"[6, 8, 10, 1, 4, 0, 5, 2]",5665,1862,1237669,1732591,0.8918450881612091,0.9831045406546992,0.9798258641873662,0.96648576342229
8,537980,"[6, 8, 10, 1, 4, 0, 5, 7]",5872,1852,1256817,1714026,0.924433249370277,0.9778247096092924,0.994984768262252,0.9561297081282624
8,592980,"[6, 8, 10, 1, 4, 0, 5, 9]",5620,1886,1250758,1777555,0.8847607052896725,0.9957761351636748,0.9901880375441752,0.9915678894788836
7,315500,"[6, 8, 10, 1, 4, 0, 3]",5072,1843,1217882,1697403,0.7984886649874056,0.9730728616684268,0.9641610827517196,0.9468569525585008
8,515500,"[6, 8, 10, 1, 4, 0, 3, 11]",5168,1851,1219096,1712175,0.8136020151133502,0.977296726504752,0.9651221705701292,0.9550971706464824
8,515500,"[6, 8, 10, 1, 4, 0, 3, 12]",5164,1848,1218756,1706628,0.8129722921914357,0.97571277719113,0.9648530026473456,0.9520029051621852
8,575500,"[6, 8, 10, 1, 4, 0, 3, 2]",5547,1868,1241952,1743778,0.8732682619647355,0.986272439281943,0.983216588344079,0.972726172287051
